SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,240 W Kinney St,Newark City,NJ,07103-3359,250000,2,1.0,Newark City,,,2000,72,,300,Active,,,http://www.redfin.com/NJ/Newark/240-W-Kinney-St-07103/unit-9F/home/165590354,GSMLS,3684168,N,Y,40.7315947,-74.1876971
MLS Listing,,Multi-Family (2-4 Unit),169 Goodwin Ave,Newark,NJ,07112,359900,8,3.0,Newark,,4082,,73,,,Active,,,http://www.redfin.com/NJ/Newark/169-Goodwin-Ave-07112/home/36284944,NJMLS,20052079,N,Y,40.7127518,-74.2138743
MLS Listing,,Single Family Residential,28 Grumman Ave,Newark,NJ,07112,325000,4,1.5,Newark,,3232,,73,,,Active,,,http://www.redfin.com/NJ/Newark/28-Grumman-Ave-07112/home/165629763,NJMLS,20052034,N,Y,40.7016388,-74.2137906
MLS Listing,,Multi-Family (2-4 Unit),142-144 Sunset Ave,Newark,NJ,07106,650000,9,6.0,Newark,,3659,,74,,,Active,,,http://www.redfin.com/NJ/Newark/142-Sunset-Ave-07106/unit-144/home/36296175,NJMLS,20051942,N,Y,40.7412364,-74.2274634
MLS Listing,,Multi-Family (2-4 Unit),144 Sunset Ave,Newark,NJ,07106,650000,0,,Newark,3776,3659,1921,76,172,,Active,,,http://www.redfin.com/NJ/Newark/144-Sunset-Ave-07106/home/173972781,CJMLS,2109766,N,Y,40.7412141,-74.2275245
MLS Listing,,Single Family Residential,20 Palm St,Newark,NJ,07106,240000,4,1.5,Newark,,2500,,77,,,Active,,,http://www.redfin.com/NJ/Newark/20-Palm-St-07106/home/36302759,NJMLS,20051797,N,Y,40.747151,-74.2312757
MLS Listing,,Single Family Residential,125 S Munn Ave,Newark,NJ,07106,214900,3,1.0,Newark,,3040,,78,,,Active,,,http://www.redfin.com/NJ/Newark/125-S-Munn-Ave-07106/home/36292977,NJMLS,20051755,N,Y,40.7409765,-74.2197324
MLS Listing,,Vacant Land,147 Dewey St,Newark,NJ,07112,120000,,,Newark,,,,79,,,Active,,,http://www.redfin.com/NJ/Newark/147-Dewey-St-07112/home/36280587,NJMLS,20051626,N,Y,40.7147526,-74.2174052
MLS Listing,,Multi-Family (2-4 Unit),188 CUSTER Ave #2,Newark City,NJ,07112-2139,599900,6,4.5,Weequahic,4060,2613,2021,79,148,,Active,,,http://www.redfin.com/NJ/Newark/188-Custer-Ave-07112/unit-2/home/173961826,GSMLS,3683415,N,Y,40.7125451,-74.207351
MLS Listing,,Single Family Residential,141 1/2 Clifton Ave,Newark,NJ,07104,179895,3,1.0,Newark,,1651,,80,,,Active,,,http://www.redfin.com/NJ/Newark/1-Clifton-Ave-07103/home/173875944,NJMLS,20051497,N,Y,40.7489922,-74.18102
MLS Listing,,Multi-Family (2-4 Unit),232 Sherman Ave,Newark,NJ,07114,255000,6,2.0,Newark,,2500,,80,,,Active,,,http://www.redfin.com/NJ/Newark/232-Sherman-Ave-07114/home/36274657,NJMLS,20051491,N,Y,40.7166514,-74.1887774
MLS Listing,,Multi-Family (2-4 Unit),57 ROSE Ter,Newark City,NJ,07108-1618,320000,5,3.0,Upper Clinton Hill,,3484,1927,80,,,Active,,,http://www.redfin.com/NJ/Newark/57-Rose-Ter-07108/home/36271771,GSMLS,3683309,N,Y,40.7269351,-74.201997
MLS Listing,,Multi-Family (5+ Unit),513-515 Market St,Newark,NJ,07105,800000,16,,Newark,,,,83,,,Active,,,http://www.redfin.com/NJ/Newark/513-Market-St-07105/home/173951325,NJMLS,20051226,N,Y,40.732267,-74.1562347
